UTCtime:2024,9,25,12:25:50,Human-Human – parasail,,
(0,-0.00119641,-0.798006,9.64906,-0.0595593,0.096364, -0.00733038)
(1,0.445065,-0.405583,9.40858,-0.100487,-0.0528398, -0.0369573)
(2,0.314656,0.754936,9.90629,-0.111483,0.109956, 0.0293215)
(3,0.417548,0.740579,10.3872,0.0471893,-0.0838412, 0.139583)
(4,-0.168694,0.865005,9.04248,0.167377,0.0873537, -0.0158825)
(5,-0.78006,-0.7334,9.46242,0.15012,-0.169057, -0.103083)
(6,-0.0681955,0.525225,10.2951,0.0189368,-0.0783434, -0.000152716)
(7,0.329013,-0.181854,9.70409,-0.274431,-0.387136, 0.0951423)
(8,-0.105284,-0.107677,8.62613,0.0151189,0.186619, -0.146302)
(9,-0.381655,0.117248,9.42892,0.0155771,0.0722348, -0.0491747)
(10,-0.62333,0.161516,8.66561,0.0461203,-0.00213803, -0.212428)
(11,1.11147,-0.248854,9.80818,0.111636,-0.215635, 0.0671951)
(12,1.22632,0.369691,10.0475,0.0717766,0.151342, -0.0242819)
(13,0.62333,0.496511,9.48635,-0.263894,-0.0690278, -0.331547)
(14,0.681955,-0.893719,10.5296,0.389732,0.101404, 0.0116064)
(15,0.247657,-0.192622,10.1121,0.0167988,0.011301, -0.0942259)
(16,-0.644866,-0.00239282,10.1898,-0.281914,0.150731, 0.27718)
(17,-0.349352,0.842274,9.76511,0.0256563,-0.0285579, 0.0781907)
(18,-0.829113,0.0945165,10.0487,0.0265726,-0.268933, -0.0844521)
(19,-0.434297,-0.361316,8.76491,-0.0210748,-0.0954477, -0.0221439)
(20,0.117248,-0.192622,10.0391,0.0536034,0.0186314, -0.0171042)
(21,-0.020339,0.0131605,9.76032,0,-0.0114537, -0.00992656)
(22,0.0442672,-0.0526421,9.76511,-0.00122173,-0.0105374, -0.00870483)
(23,0.0418744,-0.0358923,9.76511,0.000152716,-0.0106901, -0.00839939)
(0,0.396012,0.209372,9.84048,-0.0323759,-0.133016, -0.0167988)
(1,0.0394816,-0.0227318,10.6098,0.00885754,0.227853, -0.0830777)
(2,0.0825524,-0.0287139,9.41695,0.154854,-0.0187841, 0.0763581)
(3,-0.0885344,0.72024,9.69691,-0.00397062,0.019395, -0.0471893)
(4,-0.0634098,0.0933201,9.69811,-0.0222966,-0.105527, -0.268933)
(5,0.407976,-0.76331,10.1767,0.00458149,0.0691805, -0.119577)
(6,0.849452,0.153141,11.1589,0.180511,-0.0800233, 0.066737)
(7,0.681955,-0.112463,8.1009,-0.0551306,-0.0890336, -0.184329)
(8,0.193819,-0.752543,10.0857,-0.127824,-0.104611, -0.0277944)
(9,0.267996,-0.857827,9.87518,-0.0386372,0.0122173, 0.208305)
(10,-0.48335,0.318246,9.08794,0.0690278,0.365755, 0.231518)
(11,-1.60558,-0.617348,8.84267,0.0467312,-0.0468839, 0.000152716)
(12,-0.66999,-0.484547,8.75414,0.044135,-0.204334, -0.135001)
(13,0.175872,-1.21436,10.0128,0.0065668,0.222508, -0.21869)
(14,0.534796,-0.943969,9.64188,0.0572686,0.217315, -0.114385)
(15,-0.198604,0.381655,10.3059,-0.201433,-0.108734, 0.334143)
(16,0.0993021,0.226122,10.861,-0.029627,-0.0569632, 0.0230602)
(17,0.397209,1.25982,10.2712,-0.101404,-0.0494801, 0.0714712)
(18,0.00239282,-0.454636,9.78784,0.375682,-0.0494801, -0.355065)
(19,-0.0598206,-0.648455,9.9338,-0.385456,0.0435241, 0.0302378)
(20,-0.336192,-0.244068,10.5141,0.115454,-0.074831, -0.00595593)
(21,0.458226,-0.196212,9.80698,-0.0682642,-0.00671952, 0.0074831)
(22,0.157926,0.101695,9.86681,0.00442877,-0.087201, 0.0114537)
(23,0.0358923,-0.0550349,9.76511,-0.000916298,-0.0142026, -0.00946841)
(24,0.00239282,-0.0538385,9.78186,-0.000916298,-0.0106901, -0.00870483)
end of logging,,,,,,
