UTCtime:2024,9,25,12:11:49,"DT – Human Leader, Robot Follower",,
(0,0.386441,0.116052,9.74597,-0.00687223,-0.00702495, -0.00733038)
(1,0.410369,0.040678,9.734,0.00366519,-0.00885754, -0.011301)
(2,0.422333,0.0167498,9.76272,-0.00427606,-0.0122173, -0.00870483)
(3,0.443869,0.0526421,9.76032,0.00167988,-0.0126754, -0.0138972)
(4,0.45344,0.0370888,9.76511,0.00519235,-0.00702495, -0.0122173)
(5,0.416351,-0.0658026,9.6347,0.0239765,0.000152716, 0.000763581)
(6,0.372084,-0.00837488,9.87877,-0.00458149,-0.00106901, 0.0291688)
(7,-0.0741775,-0.162712,9.68495,-0.0288634,-0.0178678, 0.0352775)
(8,-0.568295,-0.607777,9.46481,-0.0279471,-0.00626137, 0.115454)
(9,-0.348156,-0.354138,9.2363,0.00855211,0.0323759, 0.00320704)
(10,0.197408,-0.380459,10.9938,0.0429133,-0.0507018, -0.071624)
(11,-0.0634098,-0.00717847,9.30928,0.0212276,-0.0235183, 0.0137445)
(12,-0.760918,-0.143569,9.67777,-0.00962113,0.167835, -0.0519235)
(13,0.235693,0.608973,9.80818,-0.0279471,0.00962113, -0.0444404)
(14,-0.997807,-0.235693,9.68615,-0.00442877,0.085063, -0.152411)
(15,-0.975075,0.171087,10.0965,0.0368046,0.064599, -0.138819)
(16,-1.3352,0.37687,10.1216,0.0192422,0.0496328, -0.0219911)
(17,-1.05045,-0.0442672,9.25305,-0.0184787,0.100029, -0.0279471)
(18,-1.71685,0.157926,9.14656,-0.0673479,-0.0148135, -0.0122173)
(19,-1.5673,0.172283,9.67897,-0.0520762,-0.00259618, 0.0406225)
(20,-1.54696,-0.187837,9.80459,0.0384845,-0.0665843, 0.0224493)
(21,-1.52064,0.081356,9.87638,0.00503964,-0.0481056, 0.0401644)
(22,-1.46201,0.125623,10.8634,0.0174097,-0.0612392, 0.0116064)
(23,0.066999,-0.0394816,10.0534,0.0409279,-0.239765, 0.108887)
error,,,,,,
(24,-0.234497,0.124427,10.1288,0.00595593,-0.208305, 0.0662789)
