UTCtime:2024,9,25,12:31:44,Robot Leader – beaker,,
(0,0.323031,0.0538385,9.78664,0.00198531,0.00946841, -0.00503964)
(1,0.315853,0.0239282,9.67538,-0.00671952,-0.0172569, -0.00763582)
(2,0.307478,0.0693919,9.71127,-0.00503964,-0.00855211, -0.0126754)
(3,0.317049,0.0646062,9.77947,0.00152716,-0.0108429, -0.00931569)
(4,0.289532,0.0885344,9.73042,-0.00626137,-0.00977384, -0.0065668)
(5,0.2668,0.0957129,9.77348,-0.000610865,-0.0178678, -0.00839939)
(6,0.378066,-0.397209,9.78664,-0.013439,0.0209221, -0.0274889)
(7,0.232104,0.641276,9.61915,-0.0470366,-0.0368046, 0.0384845)
(8,0.217747,0.252443,9.89552,-0.00916297,-0.0171042, -0.0190895)
(9,0.289532,0.0981058,9.69931,0.0197004,-0.00916297, -0.0186314)
(10,0.585045,-0.0107677,9.41456,0.0056505,-0.02474, -0.0259618)
(11,0.236889,0.118445,9.94218,-0.0335976,-0.0620028, 0.032834)
(12,0.573081,0.0167498,9.8357,-0.0169515,-0.0384845, -0.0308487)
(13,0.520439,0.081356,9.7998,0.00198531,-0.0305433, -0.0143553)
(14,0.553938,0.0957129,9.71367,-0.00473421,-0.00152716, -0.0346666)
(15,0.545564,0.107677,9.69093,0.0018326,-0.0222966, 0.000763581)
(16,0.577867,0.0837488,9.81775,-0.000610865,-0.0154243, -0.00458149)
(17,0.277568,0.263211,9.5019,-0.00412334,-0.000610865, 0.0174097)
(18,0.728615,0.159123,9.95295,-0.0733038,-0.104611, -0.00809396)
(19,1.0002,-0.894916,10.0068,-0.102931,-0.0508545, -0.0986547)
(20,1.27657,-1.15334,9.30928,-0.0514654,0.0343612, 0.0975857)
(21,0.929612,-0.806381,9.63111,0.0410807,-0.0320704, -0.0673479)
(22,1.09232,-0.802792,9.87877,0.0926988,-0.0326813, 0.0189368)
(23,0.731007,0.0287139,9.62513,0.0965167,0.0383318, -0.0294742)
(24,0.655633,-0.427119,9.5701,-0.00244346,-0.0140499, -0.025809)
(25,0.769293,-0.00598206,9.73161,0.0120646,-0.0120646, -0.00885754)
(26,0.92363,-0.107677,9.80938,0.00229074,-0.0435241, -0.00366519)
(27,0.963111,-0.150748,9.70888,-0.00610865,-0.0413861, 0.00885754)
(28,0.957129,-0.087338,9.63231,-0.00702495,-0.0100793, -0.00809396)
(29,0.929612,-0.174676,9.67538,0.000305433,-0.0155771, -0.00992656)
(30,0.958326,-0.149551,9.72683,-0.00671952,-0.0274889, -0.00855211)
(31,0.786042,-0.179462,9.1681,-0.0271835,0.0700968, -0.0114537)
(32,0.960718,-0.257228,9.95175,0.0484111,-0.0717766, 0.0418443)
(33,0.857827,-0.066999,10.3059,0.0682642,-0.0531453, -0.011301)
(34,1.28136,-0.17348,9.35115,0.0109956,-0.0833831, -0.0971275)
(35,1.62353,0.301496,9.29731,-0.0448986,0.062461, -0.0395535)
