UTCtime:**2024,10,9,14:6:52,parasail,hh,
0,0.214158,-0.00717847,9.79143,-0.00290161,-0.010232,-0.00839939)
-1,0.144766,0.0143569,9.78664,-0.00167988,-0.0108429,-0.00962113)
-2,0.175872,0.00358924,9.7699,-0.000916298,-0.0125227,-0.00763582)
-3,0.0801595,0.0634098,9.69931,0.00549779,-0.0056505,-0.00580322)
-4,0.253639,-0.168694,10.3322,-0.0946841,0.0305433,0.0346666)
-5,-0.112463,0.12323,10.0211,-0.0108429,0.0383318,0.00763582)
-6,-0.0849452,-0.202194,9.82852,-0.0259618,-0.0267254,0.0132863)
-7,0.105284,-0.209372,9.75554,-0.0277944,-0.00229074,-0.0813978)
-8,0.144766,0.282353,9.7005,0.022602,-0.00671952,-0.0636827)
-9,0.0981058,-0.0490529,9.91825,0.0358883,-0.00519235,-0.0513127)
-10,0.0921237,0.0191426,10.1468,0.041997,-0.0734565,0.0423024)
error,,,,,,
-11,-0.515653,0.308674,9.63709,0.0299324,0.0152716,-0.045204)
-12,-0.845863,0.314656,10.3047,0.0218384,-0.00824668,0.054367)
-13,-0.691526,-0.0933201,9.72563,0.0690278,-0.0488692,-0.0348193)
-14,-0.558724,-0.214158,9.55215,-0.0253509,-0.0620028,-0.16982)
-15,-0.0586242,-0.259621,9.05923,0.0203113,-0.0485638,-0.0589485)
-16,-0.461815,-0.141177,9.68136,0.00503964,0.156992,-0.0322231)
-17,-1.06959,0.0933201,9.97568,0.0739146,-0.00244346,0.0696386)
-18,-0.599402,-0.204586,9.75195,-0.0169515,0.0143553,0.0203113)
-19,-0.847059,0.222533,9.76631,0.135917,-0.177914,-0.14508)
-20,-0.467797,0.0215354,9.49353,0.0587958,0.250455,0.0587958)
-21,-1.21196,0.375673,9.78904,-0.111941,-0.120951,-0.105985)
-22,-0.659223,0.0490529,9.45644,-0.0401644,0.0693332,0.207847)
-23,-0.921237,-0.17348,9.69333,0.0436769,0.0595593,0.00763582)
-24,-0.811167,0.0693919,9.88475,0.0465785,-0.0284052,0.0398589)
error,,,,,,
-25,-0.7334,-0.0119641,9.89312,0.0878119,-0.0172569,-0.0673479)
-26,-0.770489,-0.0287139,9.75076,0.0126754,-0.06353,0.0505491)
-27,-0.660419,0.00837488,9.5701,-0.0959058,-0.022602,-0.120493)
-28,-0.551546,0.714258,9.71725,0.0633773,-0.0956004,-0.0526871)
-29,-0.229711,0.087338,9.85843,-0.0117592,-0.0209221,0.00610865)
-30,-0.0981058,0.108873,9.83211,-0.032834,-0.0662789,0.0813978)
-31,-0.0801595,-0.185444,9.90868,0.0,-0.0174097,0.0346666)
-32,-0.0143569,-0.117248,9.77348,-0.00717767,-0.0702495,-0.0122173)
-33,0.145962,-0.240479,9.72802,0.0299324,-0.0488692,-0.00412334)
