UTCtime:**2024,9,26,11:1:0**HH-pentagon,,,
0,-0.166301,-0.202194,9.58086,-0.014508,0.0117592,-0.0959058)
-1,-0.314656,-0.312263,9.64308,-0.0271835,-0.0184787,-0.0694859)
-2,-0.447458,0.00358924,9.68854,0.000610865,-0.0180205,-0.0722348)
-3,-0.407976,-0.192622,9.85245,-0.0065668,-0.00519235,-0.0400117)
-4,-0.399601,-0.0311067,9.69811,0.056505,-0.00244346,0.00671952)
-5,-0.409173,0.0981058,9.72683,0.0065668,0.0270308,-0.0135917)
-6,-0.246461,0.112463,9.75913,0.0288634,-0.0484111,-0.0140499)
-7,-0.087338,0.302692,9.71845,0.0186314,-0.0755945,-0.0142026)
-8,0.118445,0.0442672,9.78784,-0.0456622,-0.107665,-0.0540616)
-9,0.445065,0.147159,9.80339,-0.00839939,-0.0458149,-0.0555887)
-10,0.87338,0.181854,9.65983,0.0181732,-0.0752891,-0.0325286)
-11,1.02293,0.428315,9.50788,0.126144,-0.0160352,-0.013439)
-12,1.267,0.693919,9.24587,0.0616974,-0.228616,0.0201585)
-13,1.71565,1.06361,9.61317,-0.0198531,-0.00167988,-0.00122173)
-14,2.00279,0.866202,9.77468,-0.0125227,0.0778853,-0.0548251)
-15,1.38425,1.05763,9.99004,0.0323759,-0.0922406,0.0879646)
-16,2.02313,0.981057,9.18485,-0.0274889,-0.0937678,0.116064)
-17,2.48614,0.425922,9.57727,-0.00687223,-0.137139,0.140194)
-18,3.24228,0.379262,9.33799,-0.0655153,-0.15684,0.170279)
-19,3.08674,-0.398405,8.98146,0.00137445,-0.114843,0.0954477)
-20,3.65504,-0.020339,8.99821,-0.0302378,0.030696,-0.0621555)
-21,3.41456,0.200997,9.1023,0.00442877,-0.0297797,0.0135917)
-22,3.4014,0.246461,8.88575,0.0219911,0.00717767,0.0856738)
-23,2.87976,-0.131605,9.6682,0.0629191,0.0412334,0.160199)
-24,2.33061,0.183051,9.67059,0.104458,0.163254,0.108123)
-25,2.08176,0.187837,9.83689,0.144317,0.0665843,0.0673479)
-26,1.75035,0.241675,9.75434,0.0629191,-0.00610865,0.0229074)
-27,1.49193,0.11007,9.91706,0.0,-0.0377209,0.020464)
-28,1.42014,0.224925,9.32962,-0.00946841,-0.0465785,-0.0209221)
-29,1.86521,0.0693919,9.36551,-0.067806,-0.0114537,-0.0820086)
-30,1.48355,-0.285942,9.77348,0.00381791,0.0775799,0.00335976)
-31,1.13539,-0.200997,9.77348,-0.0192422,0.0908662,-0.0482583)
-32,0.547956,-0.0658026,9.9027,-0.00610865,0.0308487,-0.065668)
-33,0.385244,0.0681955,9.74238,-0.00855211,0.105222,-0.0167988)
-34,-0.106481,0.451047,9.8357,0.0235183,-0.0074831,-0.0177151)
-35,-0.351745,0.0394816,9.76272,0.00198531,0.041997,-0.0423024)
-36,-0.715454,0.155533,9.6347,-0.0465785,0.0444404,-0.00702495)
-37,-0.914058,0.15673,9.73161,0.0131336,-0.0329867,-0.0192422)
error,,,,,,
-38,-0.760918,0.0287139,9.667,-0.0154243,0.0056505,-0.0401644)
-39,-0.841077,0.0370888,9.72922,0.00809396,0.0216857,-0.140957)
-40,-0.984647,-0.061017,9.71606,-0.0759,-0.0264199,-0.138819)
-41,-1.02652,0.297906,9.82613,0.0589485,-0.0346666,-0.163712)
-42,-1.00857,0.303889,9.77827,0.0273362,-0.0642935,-0.047342)
-43,-0.898505,0.108873,9.69811,-0.000610865,-0.0340557,-0.00335976)
-44,-0.886541,-0.0945165,9.42653,0.224493,-0.0103847,0.0508545)
-45,-0.90688,0.155533,9.78904,-0.0881173,-0.0679587,-0.0268781)
-46,-0.579063,-0.081356,9.64547,-0.0983493,-0.0438296,0.0224493)
-47,-0.256032,-0.190229,10.0187,0.154091,0.0876591,0.0549779)
-48,0.0598206,-0.0442672,9.98884,0.025809,-0.103236,-0.00595593)
-49,0.218943,-0.0526421,9.89791,0.200975,-0.0713185,0.107665)
-50,-0.252443,0.314656,9.77348,0.0517708,-0.0288634,-0.00916297)
-51,0.143569,0.118445,9.49472,-0.13271,-0.0597121,0.0361938)
error,,,,,,
-52,0.245264,0.405583,9.73759,-0.0297797,-0.0151189,-0.00320704)
-53,0.224925,0.252443,9.58445,-0.0658207,-0.01237,-0.00794125)
end of logging,,,,,,
