UTCtime:**2024,9,30,11:6:24,M,hh,
0,-0.151944,-0.0849452,9.75793,-0.000152716,-0.0125227,-0.00992656)
-1,-0.16989,-0.0705883,9.76032,0.000152716,-0.0131336,-0.00687223)
-2,-0.187837,-0.081356,9.75673,-0.0018326,-0.00595593,-0.00977384)
error,,,,,,
-3,-0.211765,-0.0622134,9.80698,-0.00290161,-0.0100793,-0.0129809)
-4,-0.324227,0.246461,9.88475,-0.00580322,0.00824668,-0.0609338)
-5,-0.13998,0.252443,9.62992,-0.0380264,-0.0132863,0.0800233)
-6,-0.256032,-0.105284,9.90031,-0.055436,-0.0734565,0.0658207)
-7,-0.16989,-0.468993,9.95175,0.0105374,-0.0190895,-0.000458149)
-8,-0.087338,-0.0502493,9.89911,0.0354302,0.032834,-0.0316123)
-9,-0.541975,-0.128016,9.9685,0.0407752,0.129962,-0.0190895)
-10,-0.892523,0.200997,9.89911,0.0875064,-0.0125227,-0.0200058)
-11,-0.297906,0.471386,9.80938,-0.0539089,-0.140346,-0.0627664)
-12,-0.277568,0.53001,9.52583,-0.0775799,-0.101251,0.00320704)
-13,-0.224925,0.543171,9.48276,-0.0361938,0.054367,-0.0461203)
-14,-0.403191,0.488136,9.59283,0.0322231,-0.0742201,0.011301)
-15,-0.317049,0.301496,9.56651,0.0206167,0.0584903,0.0189368)
-16,-0.47019,0.258425,9.61795,0.0131336,0.0363465,-0.0699441)
-17,-0.51685,0.276371,9.59402,-0.0106901,0.0164934,0.0103847)
-18,-0.518046,0.357727,9.67538,0.145233,-0.0922406,0.0155771)
-19,-0.440279,0.434297,9.76631,0.014508,-0.0348193,-0.00534507)
-20,-0.502493,0.331406,10.0116,-0.100487,-0.00397062,-0.021533)
-21,-0.518046,0.171087,10.0391,-0.0238237,-0.0117592,-0.0355829)
-22,-0.540778,0.12682,9.7029,0.0256563,-0.0253509,-0.0470366)
-23,-0.561117,0.351745,9.66581,-0.0519235,0.0239765,-0.0311541)
-24,-0.575474,-0.0598206,9.60838,-0.0910189,-0.0331394,0.0274889)
-25,-0.418744,-0.0622134,9.62513,0.180205,-0.0248928,0.0348193)
-26,-0.407976,-0.264407,9.79023,-0.0561996,-0.053298,-0.0259618)
-27,-0.258425,-0.0993021,9.5689,-0.036041,-0.0513127,-0.00946841)
-28,0.0801595,-0.281157,9.801,-0.262367,-0.0897971,0.0389426)
-29,-0.040678,-0.116052,9.32364,-0.041997,-0.0881173,-0.00870483)
-30,0.199801,-0.531207,9.19921,0.235489,-0.123547,0.00412334)
-31,0.151944,-0.0837488,9.51028,-0.0056505,0.100029,-0.0108429)
-32,0.0622134,0.020339,9.75793,0.000152716,-0.0120646,-0.00824668)
-33,0.061017,-0.00119641,9.75076,-0.000152716,-0.0116064,-0.00901026)
0,-0.238086,-0.0179462,9.73042,0.0,-0.0190895,-0.0065668)
-1,-0.222533,-0.0370888,9.73879,-0.0160352,-0.0178678,-0.0114537)
-2,-0.244068,0.0705883,9.70649,-0.00137445,-0.0137445,-0.025809)
-3,-0.16989,0.411566,9.71845,0.0384845,-0.0507018,0.0424551)
-4,-0.238086,0.0825524,9.76751,-0.00213803,-0.0384845,0.0455095)
-5,-0.129212,-0.081356,9.81895,0.0429133,-0.0368046,-0.0325286)
-6,0.0646062,-0.2333,9.76152,-0.045204,-0.0227547,-0.105222)
-7,-0.00358924,0.0849452,9.90031,-0.0352775,0.0647517,-0.0105374)
-8,-0.363709,-0.226122,10.252,-0.0259618,-0.0109956,-0.00503964)
-9,-0.575474,0.205783,9.64786,0.0717766,0.0641408,0.0152716)
-10,-0.746561,0.189033,9.66222,-0.0155771,0.0616974,-0.00610865)
-11,-1.18205,0.384048,9.46721,-0.0630718,0.206625,0.0448986)
-12,-1.6331,-0.00239282,9.35714,-0.0300851,-0.134848,0.0245873)
-13,-1.13061,-0.0167498,9.7364,-0.0274889,-0.204029,0.0526871)
-14,-0.271585,-0.0646062,9.38345,0.0514654,-0.162643,-0.000610865)
-15,-0.12682,0.307478,9.57967,-0.0253509,0.0103847,-0.0435241)
-16,0.0789632,0.00598206,9.79023,0.00335976,-0.00916297,-0.0751364)
-17,0.0239282,-0.199801,9.95055,-0.0733038,-0.0253509,-0.0320704)
-18,-0.143569,-0.238086,10.1456,-0.0704022,0.0937678,-0.0410807)
-19,-0.345763,-0.527617,9.81177,0.0992656,0.112705,0.0203113)
-20,-0.37687,0.113659,9.94218,0.110414,-0.100487,-0.0942259)
-21,-0.447458,0.162712,9.46003,0.0157298,0.0542143,-0.0392481)
-22,-0.752543,0.235693,9.38465,-0.0348193,0.0632245,-0.0545197)
error,,,,,,
-23,-0.838684,-0.107677,9.05684,-0.0380264,0.173638,-0.00610865)
-24,-1.58883,-0.252443,9.73281,0.0427606,-0.0781907,0.0815505)
-25,-0.59342,0.107677,9.95654,0.0821613,-0.231671,0.023671)
-26,-0.0287139,0.0837488,9.92064,-0.0707076,-0.0798706,-0.0314596)
-27,0.0167498,0.120838,9.70888,-0.0180205,-0.0636827,-0.0870483)
-28,0.238086,0.29671,9.69093,0.0354302,0.0280998,0.00946841)
-29,0.12682,-0.0155533,9.79502,0.0105374,-0.00641408,0.0719294)
-30,-0.0334995,-0.698704,9.83211,0.0603229,0.0394008,0.0106901)
-31,-0.180658,-0.0957129,9.71606,-0.041997,-0.0210748,-0.0601702)
-32,-0.155533,-0.0622134,9.43849,0.00992656,-0.01237,-0.00885754)
-33,-0.290728,0.285942,9.24587,-0.112399,0.157603,-0.0800233)
-34,-0.291924,0.0634098,9.79622,-0.0186314,-0.0736092,-0.0187841)
-35,-0.0705883,-0.162712,9.83929,-0.00198531,-0.0546724,-0.00580322)
-36,0.061017,0.0981058,9.76631,-0.00885754,-0.0276416,-0.0105374)
end of logging,,,,,,
