UTCtime:**2024,UTCtime:**2024,10,1,18:37:1,,,
0,0,0.222533,0.0526421,9.73879,0.0105374,-0.0201585,-0.0109956)
-1,1,0.206979,0.102891,9.77348,-0.00839939,-0.0175624,-0.0125227)
-2,2,0.167498,0.13998,9.77468,0.0450513,-0.0232129,-0.00733038)
-3,3,0.245264,0.42353,9.83211,0.0142026,-0.0189368,-0.0528398)
-4,4,0.357727,0.441476,9.61795,0.0835358,0.00794125,0.0158825)
-5,5,0.320638,-0.0323031,9.78784,0.122326,-0.0171042,-0.0108429)
-6,6,0.246461,0.272782,9.72802,-0.025809,0.00671952,0.0)
-7,7,0.288335,0.256032,9.82852,0.0109956,-0.0482583,-0.0178678)
-8,8,0.476172,0.235693,9.8357,-0.00916297,-0.0423024,-0.0372628)
-9,9,0.587438,0.258425,9.93739,-0.00122173,-0.0534507,-0.0132863)
-10,10,0.57667,0.491725,9.56531,-0.0345139,0.00106901,-0.0253509)
-11,11,0.535992,0.68674,9.84407,0.0166461,0.0238237,0.000305433)
-12,12,0.348156,0.827917,9.58445,-0.0557414,0.0592539,-0.00259618)
-13,13,-0.00717847,0.448654,9.36431,0.0177151,0.139888,0.011301)
-14,14,-0.15673,0.362513,9.39542,-0.0505491,-0.0494801,-0.0108429)
-15,15,-0.400798,0.224925,9.59163,0.0364992,0.0200058,0.021533)
-16,16,-0.346959,0.122034,9.533,-0.0577268,-0.0380264,0.0670424)
-17,17,-0.361316,0.180658,10.0857,-0.0693332,0.0174097,0.00397062)
-18,18,-0.295514,-0.0251246,9.71247,-0.0218384,-0.0346666,-0.0122173)
-19,19,-0.449851,0.0394816,9.85484,-0.0329867,0.00901026,-0.0151189)
-20,20,-0.40678,0.0334995,9.91107,0.0545197,0.0482583,-0.00885754)
-21,21,-0.588634,0.113659,9.85125,0.0461203,-0.00916297,-0.00442877)
-22,22,-0.448654,0.111266,9.82972,0.0323759,-0.062461,0.00534507)
-23,23,-0.081356,0.321835,9.83809,0.0768163,-0.165086,0.00427606)
error,error,,,,,,
-24,24,0.248854,0.422333,9.68016,0.0679587,0.020464,-0.0163406)
-25,25,0.020339,0.211765,9.31885,0.0739146,-0.0238237,-0.0149662)
-26,26,0.00239282,0.151944,9.80698,-0.0536034,0.00931569,-0.0117592)
-27,27,-0.0143569,0.0263211,9.66581,-0.0818559,-0.00962113,0.0183259)
-28,28,0.0801595,-0.0526421,10.0068,-0.011301,-0.0542143,0.0334449)
-29,29,0.474975,-0.288335,10.0164,-0.0647517,-0.0200058,0.0207694)
-30,30,0.37687,-0.299103,10.0941,-0.152716,0.0386372,-0.0218384)
-31,31,0.102891,-0.236889,10.0642,-0.126144,-0.0910189,-0.0363465)
-32,32,0.0191426,-0.661615,9.85843,-0.0696386,0.0303905,-0.0270308)
-33,33,-0.0179462,-0.601795,9.71845,0.0169515,-0.00671952,0.00122173)
-34,34,0.00239282,-0.147159,9.69452,0.101862,0.00320704,-0.0595593)
-35,35,-0.104088,-0.342174,9.7017,0.101709,0.0351248,-0.0725402)
-36,36,-0.154337,-0.275175,9.78904,0.00702495,0.021533,-0.114843)
-37,37,-0.308674,-0.145962,9.74956,-0.0445931,-0.0270308,-0.000763581)
-38,38,-0.325424,-0.0358923,9.64188,-0.0157298,0.0218384,0.0265726)
-39,39,-0.246461,-0.0909272,9.74477,0.030696,-0.0143553,-0.0157298)
-40,40,-0.393619,-0.263211,9.51865,-0.0763581,-0.0537561,0.00290161)
-41,41,0.0418744,-0.122034,9.63111,0.14447,-0.0174097,-0.013439)
-42,42,-0.00358924,0.197408,10.806,0.0131336,0.0108429,-0.0415388)
-43,43,-0.130409,0.726222,9.82373,-0.259923,0.160658,0.0574213)
end of logging,end of logging,,,,,,
