UTCtime:**2024,10,5,8:42:11**hh-jetski,,,
0,0.196212,0.202194,9.61197,-0.00885754,-0.00580322,-0.00824668)
-1,0.133998,0.183051,9.74956,-0.000152716,-0.00901026,-0.0100793)
-2,0.125623,0.189033,9.74956,-0.00259618,-0.0129809,-0.00946841)
-3,0.130409,0.17348,9.80339,-0.00320704,-0.00931569,-0.00916297)
-4,-0.100499,0.0789632,10.124,0.0166461,0.011301,-0.00610865)
-5,0.087338,-0.120838,10.0738,-0.105527,0.0192422,-0.108887)
-6,0.22014,-0.222533,9.35115,-0.264199,-0.0865901,0.0126754)
-7,0.221336,0.25005,9.50549,-0.172569,-0.0968221,0.014508)
-8,0.256032,0.148355,9.72443,-0.105069,0.0450513,-0.025809)
-9,0.147159,0.15673,9.70409,-0.0120646,0.0587958,-0.0183259)
-10,0.150748,-0.0334995,9.51147,-0.01237,0.0708604,0.24572)
-11,0.0825524,-0.61017,9.90868,-0.0155771,-0.0662789,0.0467312)
-12,0.357727,-0.439083,9.90629,0.0314596,-0.0671951,0.0809396)
-13,0.435494,-0.574277,9.85963,-0.0325286,-0.0931569,0.0148135)
-14,0.577867,-0.585045,10.1611,-0.0485638,-0.0244346,0.0601702)
-15,1.07079,-0.407976,9.02453,0.0334449,-0.0919352,-0.0529926)
-16,0.93679,-0.691526,9.93739,-0.0392481,-0.00626137,0.00641408)
-17,1.09711,-0.568295,9.6359,-0.0956004,0.054367,-0.28955)
-18,0.862613,-0.229711,9.54617,-0.0279471,-0.0273362,-0.27046)
-19,0.748954,-0.0466601,9.73161,0.00839939,0.0218384,-0.0335976)
-20,0.801595,-0.369691,10.1324,-0.0368046,0.0568105,-0.0485638)
-21,1.04925,-0.294317,10.0259,0.0699441,-0.144011,-0.0397062)
-22,1.03729,-0.342174,9.41935,-0.0311541,-0.122784,0.0377209)
-23,1.21555,-0.246461,9.43131,0.0368046,0.0335976,-0.0189368)
-24,1.23829,-0.351745,9.34517,0.0364992,-0.0119119,-0.0858265)
-25,0.559921,-0.196212,9.69811,-0.0401644,0.215177,-0.224187)
-26,-0.0311067,-0.31346,9.55095,0.0248928,0.176998,-0.133016)
-27,-1.14855,-0.00717847,10.1994,0.0221439,0.176693,-0.165544)
-28,-1.2,-0.174676,9.38944,0.0380264,0.0224493,-0.000610865)
-29,-1.27418,-0.00598206,9.85484,0.0684169,-0.0675006,-0.0733038)
-30,-1.31486,0.159123,9.533,-0.0235183,0.0345139,0.251829)
-31,-1.45603,-0.210568,9.9673,-0.0470366,-0.0719294,0.234725)
error,,,,,,
-32,-1.08634,-0.187837,9.45524,-0.0235183,0.0203113,0.0835358)
-33,-1.23111,0.0442672,9.58804,0.0160352,-0.0400117,-0.033903)
-34,-0.522832,0.0909272,9.83689,0.0731511,-0.014508,-0.00595593)
-35,-0.619741,0.143569,8.78405,-0.0762054,-0.00870483,-0.010232)
-36,-0.235693,-0.0634098,10.0283,-0.0429133,-0.0018326,-0.0253509)
-37,-0.259621,-0.2668,9.38824,-0.0149662,-0.056505,-0.00167988)
-38,0.0251246,-0.0622134,9.77348,0.00167988,-0.0154243,-0.0108429)
end of logging,,,,,,
