positionname,j2s7s300_joint_1,j2s7s300_joint_2,j2s7s300_joint_3,j2s7s300_joint_4,j2s7s300_joint_5,j2s7s300_joint_6,j2s7s300_joint_7
start,4.954357405442673,4.032633091108504,6.578471815157609,1.2804851363653589,0.5964040071627761,1.7037936595270724,-0.35149548555085885
triangle2,4.211498446769278,4.063655189382402,6.13335000529733,1.3488700531525226,-0.788323845591982,1.7305660184914753,0.3159813668872979
triangle3,4.259682487739864,3.718085004230374,6.162066338699437,0.9687069367579921,-0.35195930834420974,1.902039770546734,0.1315293317602967
doubleM2,3.54281411709288,4.240442746760696,6.651331108892216,1.5710621102716864,-1.036081250490498,2.00369768936113,0.13028726671739738
doubleM3,3.4831166980976636,3.468871183110721,6.879651898627979,1.4673682048039252,-0.7252936802296135,2.728200277588935,0.3614714872572139
doubleM4,3.8784011765826367,4.0816741373178775,6.793457624683128,1.1315917945606637,-0.24358278337651898,1.884997936415208,-0.3483543869136512
doubleM5,3.879959125820333,3.619291315168358,7.838845291602908,1.4046915074972373,0.9717167082639452,1.959923177365443,-1.4103846801175541
pentagon2,3.9276659283235764,4.078931614027314,6.306783577598779,1.1890668056262088,-0.5673066419877065,1.8120535546837744,0.11156712511166018
pentagon3,3.7746769110784486,3.7469052009149935,6.070992088373124,1.4908008266033146,-1.0752544859128006,1.9707670366920276,0.7874185705584368
pentagon4,4.086330674483881,3.275507578475555,6.385202486425034,1.548974384822787,-0.8834368462904263,2.9105176226546696,0.787470635357748
pentagon5,4.236711924389604,3.5465161773241993,6.785298764367562,0.9679450729491477,0.08960898741692858,2.134944526308796,-0.3289995640858777
splittriangle2,3.792718229567081,4.148380463669964,6.175890807918037,1.469582356934217,-0.8169283928073323,1.8046855200539065,0.33152820225139434
splittriangle3,3.8571318405367188,3.2380667293423495,6.711817356202313,1.4324328576242658,-0.45363214086070985,2.933271404692198,0.3314835610136219
splittriangle4,3.928531721993961,4.250183524763769,6.708350985727466,1.1243719648454589,-0.30024651235024186,1.5396780884056476,-0.2251995982277041
splittriangle5,3.915479303175374,3.3641753964408716,6.756867389202093,1.6056685570567213,0.03373613822436438,2.766622235267726,-0.2669114753143678
jetski2,3.659640336211931,4.15764560110235,6.442636218493682,1.4009963714847524,-0.7578152713552797,1.8772332239409733,0.1557482518715318
jetski3,3.5389109881992598,4.0751445989572215,6.462769183702464,1.928621047702924,-1.1252863612057376,2.2497841604127027,0.7186615435879619
jetski4,3.6125367396955905,4.067498663467604,7.002866774886022,1.161879393005917,-0.41341028575918864,2.025645732010854,-0.45182465342887307
jetski5,3.3809091028342757,3.5146759559634297,7.365427927792755,1.5580554978238486,-0.17552238941293827,2.820243918552036,-0.20142692404662538
vee2,5.113816838872258,3.662229461423706,6.323256826837572,1.5186305936785336,1.1124437994810485,2.167126431237423,-0.877697334667142
vee3,5.4235680399949375,3.5390028672568676,5.520500712087206,1.6241548897635063,0.43835252042248923,2.7833069394970726,-0.35962465162027113
vee4,5.202167208035636,3.5351988079557986,5.514112853896542,0.9322629753998299,0.14498352171883613,2.2200912458388644,0.1731519596609292
vee5,4.456091683397644,3.6146126737653073,5.273013684618361,1.0090608846495814,-0.9063641332729729,1.7442510712270107,0.8493653619893613
beaker2,3.371504149444661,4.128331121719412,6.65541320221109,1.4687658317439987,-1.140860527260521,1.9439474066182758,0.2862339240901401
beaker3,3.394021176461281,3.72488032606782,7.385950779785123,1.005512289076078,-0.03139389428742349,2.209569629004179,-0.5620976986325933
beaker4,3.1911215909108686,3.4336354313601003,7.592791044800525,1.5579242039821075,0.45284324596680114,2.8989770803869206,-0.7642460064394939
beaker5,3.2092276242139905,3.6030092808958316,7.44210992295606,0.8380117736301355,0.0038275429723377183,2.20180744653298,-0.4488199086394775
